Frequency_Hz,PSD_V_P1,PSD_V_P2,PSD_V_P3,PSD_V_P4,PSD_V_P5,PSD_V_P6,PSD_V_P7,PSD_V_P8
11.015625,2.24843214448399e-09,2.49498930426221e-07,2.6984635552814e-06,2.06076136259629e-06,3.25186507292333e-06,4.86227337402362e-06,5.5004914333961e-07,2.33036259125457e-10
11.1328125,2.12686219359349e-09,2.65717815501487e-07,1.72007482247797e-06,1.92026804279227e-06,3.00975034278243e-06,5.6657060978939e-06,5.79325796616719e-07,1.50476185880569e-10
11.25,2.15311742613284e-09,3.21401349553836e-07,1.7483688482247e-06,2.03578964511877e-06,2.75498423361673e-06,5.23994931113934e-06,5.43723073773396e-07,1.10296344184425e-10
11.3671875,2.02708431436379e-09,3.99124205794395e-07,1.99692548077059e-06,2.43024493709648e-06,2.60830461093177e-06,3.81582281889276e-06,4.68195273500726e-07,1.17764310552555e-10
11.484375,1.70831504243425e-09,5.27102966021004e-07,1.76204096606255e-06,2.75820540934598e-06,2.39731177679672e-06,2.29350981720456e-06,3.9103905342411e-07,1.40635513327644e-10
11.6015625,1.34035798977397e-09,6.67046497182321e-07,1.28140974517474e-06,2.97981277568425e-06,2.15779205831003e-06,1.48951027805901e-06,3.30452443473018e-07,1.46764186516266e-10
11.71875,9.72658706508269e-10,7.42399591727616e-07,1.0573404667533e-06,2.93453628667871e-06,1.96457568132184e-06,1.54949351911135e-06,3.11598698338589e-07,1.3832954041055e-10
11.8359375,6.91714755412621e-10,7.59023955806744e-07,1.26148000097711e-06,2.54014527961542e-06,1.72170016508989e-06,2.15806211640641e-06,3.18026023533761e-07,1.52293215157535e-10
11.953125,5.82300446558305e-10,7.03059621107527e-07,2.13141889372891e-06,2.27739849235934e-06,1.57633907184248e-06,2.91174178167124e-06,2.80560301228343e-07,1.88269699698123e-10
12.0703125,6.25311904391828e-10,5.53210212709676e-07,3.58563091528703e-06,2.31000377091597e-06,1.78684293711999e-06,3.30854629808609e-06,1.83252170062315e-07,2.51289538843782e-10
12.1875,7.73607859487065e-10,3.86341780022053e-07,4.4520058324317e-06,2.10056728722307e-06,2.19254957506491e-06,3.08516508602598e-06,9.35546218700045e-08,3.71104247442484e-10
12.3046875,9.57196455313955e-10,2.68439222650238e-07,3.82472363486606e-06,1.82768737516566e-06,2.30841764622931e-06,2.52160038403717e-06,8.26102511869592e-08,4.7335058899504e-10
12.421875,1.14900472166409e-09,1.9309279938966e-07,2.37448696343193e-06,2.09623012495706e-06,2.00363889411359e-06,2.01920603288506e-06,1.46526398041761e-07,4.45997292735143e-10
