Lag_s,ACF_U_P1,ACF_U_P2,ACF_U_P3,ACF_U_P4,ACF_U_P5,ACF_U_P6,ACF_U_P7,ACF_U_P8
1.1,-0.015697065702795,0.132563307096839,0.0749450803105188,0.00915496184155439,-0.0208248260116687,-0.0198114578312492,-0.0200626310069155,0.000877282169459906
1.13333333333333,-0.0179550939776819,0.0391466064560265,-0.0113357473540638,0.0179593760139725,0.0285905539111401,-0.0279981732022908,-0.02671987501279,-0.0044991831676285
1.16666666666667,-0.0146459578729606,-0.015898390996447,0.000861496060694951,0.00701512459895872,-0.0201989630163185,-0.00155570928672353,-0.0406370894144339,-0.0438465710472827
1.2,-0.00922719300772063,0.00378801540784009,0.00902320695830835,0.0651141130240535,0.00652988521276054,-0.0139282244000573,-0.0308679098327415,-0.0344269292498661
1.23333333333333,-0.00930702573557039,-0.0121793489089308,0.000733108706815197,0.058454770267794,-0.00824470309242274,0.0105589176901615,0.0119586125110482,0.0645030705834404
1.26666666666667,-0.00368609203646085,-0.103219436908644,-0.017027846002976,0.0125572044980018,0.10567772061446,-0.0447072322243986,0.00571154243218898,0.0360454252988279
1.3,-0.00503582110415502,-0.0630309068231437,0.0581513906334045,0.00848447128316993,-0.0139189840449373,0.00342945288441968,0.022315846028086,-0.123317240513321
1.33333333333333,-0.0127802554332177,-0.0825073615788593,0.095354764280937,-0.00600130788219344,-0.0517056647126568,0.018913898937336,0.00915549004465877,0.0610460989859804
1.36666666666667,-0.0204981765201674,-0.0693874793914519,0.11415782563559,-0.0156553910556984,-0.0220621494176941,0.0282602376092974,-0.000848503663329279,-0.0126736893217248
1.4,-0.0215175451474822,-0.0757716574994023,0.0841970948291843,-0.0405643522783218,-0.00910132394291092,0.021972389445184,0.0161965327069545,-0.00711595953964155
1.43333333333333,-0.0183930711790732,-0.0717226199226571,0.0468071469353864,0.0290052814529467,0.0570009533030157,-0.027730497648346,0.0390597585337464,0.0982709747079712
1.46666666666667,-0.0214680292619133,-0.0622109390787662,0.0640350119324988,0.0472750642409033,-0.00401296596177198,-0.0628723710042751,0.024522558061069,-0.0885297493150967
1.5,-0.0156897904480536,-0.05124087026891,0.0989133139001634,0.0292239052437621,0.00939482237562255,0.00627553137820706,0.0950063926809562,-0.00157729429124778
1.53333333333333,-0.0115267326600029,-0.0444889711513193,0.0845787330105755,0.035281502145596,0.020646893397724,0.0222664968029098,0.0417335474217845,-0.0303107496044694
1.56666666666667,-0.00952476567447176,-0.0268370370410972,-0.00408613269803382,-0.0979661905190557,-0.00441654139842816,0.00648922647111638,0.042215492628723,0.0434746183627483
1.6,-0.0181764039677988,-0.0157605166294257,-0.0159691831503901,-0.0206864394437868,0.100273228756097,-0.0284204755302392,0.0302883357567571,0.0767430001421381
1.63333333333333,-0.0214910139553509,0.0034347463188634,-0.0237708599580173,0.0251016716683632,0.0724855203469815,-0.0223882901436774,0.13912903836382,-0.0121768266347239
1.66666666666667,-0.0186415488114642,-0.00438615965357786,0.0279970451581678,0.015969664998515,0.0729701935114131,-0.035285678882047,0.133195696875003,-0.000714747003247445
1.7,-0.0164491572950097,-0.0201277647606598,0.0319273280553287,0.0157109903322167,0.0223616981924484,0.041151834576209,0.146558116569994,-0.0607132309770767
1.73333333333333,-0.0128701160971797,-0.0319700760564443,0.0294017290447386,-0.0316960622551397,0.0135088093929444,0.0808443446926211,0.0575741389765593,-0.0185663168005258
1.76666666666667,-0.0116487355034085,-0.034239078070473,-0.00103007583088843,-0.00594021814877154,-0.0795752534094856,0.0778673152825079,0.0483716780817936,-0.00797641272831866
1.8,-0.0116426881470399,-0.0389059683310117,0.0547929371076428,0.0661134319331749,-0.0684342492663972,0.0182764503579802,0.0542495040298612,0.0130993777005517
1.83333333333333,-0.0174774417761155,-0.0428254196003134,0.0125735537687525,-0.0290929207221207,-0.00715684173224957,-0.00786006173181141,0.0616293347681078,0.031158970961051
1.86666666666667,-0.0167772848790337,-0.057990205355078,0.00780096857758821,-0.0596223516093262,-0.043771992957105,-0.027659834109543,0.0673338196813039,-0.025540790860902
1.9,-0.0121740705573578,-0.0691812557599566,0.00120669336713059,-0.00800709750278624,-0.0113251978247896,-0.0188447952465106,0.0268224671933575,0.0132452446184464
1.93333333333333,-0.00932483252704773,-0.0718139951829904,0.0313119002669879,0.00230265129927472,-0.0441499650500023,-0.0175301087204933,0.0025420281293014,-0.00594737414054251
1.96666666666667,-0.00860576518789786,-0.0790123527117973,-0.0155819671298627,-0.0498173215789192,-0.0937017390298809,-0.0303038959730596,0.0195411646868061,-0.109841684292078
2,-0.00835226620937676,-0.0726498231117934,-0.0346823188650719,-0.0578922072961155,-0.0406757439907377,0.0170919305584603,0.0304685046262589,0.0595839886622383
