Lag_s,ACF_V_P1,ACF_V_P2,ACF_V_P3,ACF_V_P4,ACF_V_P5,ACF_V_P6,ACF_V_P7,ACF_V_P8
0.7,-0.0226462727589041,0.119120396747707,0.0974356394589939,0.0450071765168073,0.00323460619488068,-0.0262264491429715,0.0738669199925037,-0.0815946028606618
0.733333333333333,-0.0215656212079464,0.0837141932192252,0.118505147248316,-0.0100062674569139,-0.0362839243610157,0.0571152408504519,-0.0183255218452891,0.0242479446646645
0.766666666666667,-0.0154717872723107,0.064547599892049,0.06684424157606,-0.0404573283277491,-0.0632135229094107,0.0796970431873284,-0.0858116324008535,-0.0236985442157162
0.8,-0.0224109202282805,0.0344313138250035,0.190468373948151,0.125976265996319,0.148755049365381,0.249776700914344,-0.0771457350339685,0.018254819353256
0.833333333333333,-0.0262732415524997,0.0106589900001959,0.0955645742308061,-0.0281018989008688,0.000520101676300789,0.135090517623533,-0.0789258680663357,0.0459450587112992
0.866666666666667,-0.0281408793645038,-0.0246108666982076,0.0469971246715039,-0.0519106506723675,0.0697074531688833,0.0681251983075824,-0.0818680964103721,0.00571801192903074
0.9,-0.0357085114959346,-0.00912515454638413,0.105515982826944,-0.0160725349594156,0.118754545170671,0.063241776334542,-0.0629767476569135,0.0773380732936751
0.933333333333333,-0.0309992754951238,0.014221848455888,0.0796601445938654,-0.0151053822059519,0.0813426346535191,0.117605167770724,-0.0601578122761374,-0.0486023807629962
0.966666666666667,-0.00810726341978072,0.0405545829803857,0.027937393715491,-0.0408374744802848,0.0411391441284838,0.104943137905772,-0.0592398914428814,-0.00548312834506427
1,-0.015008558183638,0.0522503142933347,0.127205429508817,0.106137021663173,0.230117482072926,0.174867255841252,-0.0567705282102866,-0.106606315847191
1.03333333333333,-0.0122131035305951,-0.00332469285624697,-0.034042296073305,-0.0133093243745609,0.0426736782308908,0.0325310354952748,-0.0540312678938818,0.0192300848337606
1.06666666666667,-0.0149623243685886,-0.0197153303471673,-0.0374769432595185,-0.0330029807693176,0.0954314098008837,0.0687434437631966,-0.0585959953219474,0.0120882079381794
1.1,-0.00676417876449069,0.0072451358175408,-0.013500691831426,-0.016322518794055,0.0948690266812109,0.0143156905598809,-0.0565239137441053,0.103164074326439
1.13333333333333,-0.0125289694124975,0.0141595413252249,0.0100071354986426,-0.0336306112152717,0.0272705030411446,0.0229803473102902,-0.0543785146410862,0.0332392015924484
1.16666666666667,-0.013258919801406,0.0125721797046518,-0.0213479904898152,-0.0339499614747076,-0.00114192845247661,0.0269409215301966,-0.047058245161431,0.0201138089967575
1.2,-0.0280755138462998,0.0379832575769297,0.0901758057826974,0.114148039431918,0.151425304046639,0.0877490227588845,-0.0453893279625782,-0.023644784945386
1.23333333333333,-0.026086431843379,-0.0208208932237792,0.0368738120224822,-0.0308057206793987,-0.000917348289728701,0.0271311432971599,-0.0449457567302566,-0.0308248153284921
1.26666666666667,-0.0303447206732729,-0.0233933548029805,0.0382677303896837,-0.0675941458045279,-0.0202296112350324,0.0453534520433791,-0.0496457983594001,-0.0579637401479413
