Frequency_Hz,PSD_U_P1,PSD_U_P2,PSD_U_P3,PSD_U_P4,PSD_U_P5,PSD_U_P6,PSD_U_P7,PSD_U_P8
9.4921875,8.68330930729795e-09,1.55504977163569e-07,2.52840200428473e-07,2.00330355646844e-07,2.39820333088331e-07,2.81028803852505e-07,4.70957953723659e-08,1.89532243188155e-10
9.609375,7.29574601621432e-09,1.49491822883986e-07,1.78875610056914e-07,2.73180394775543e-07,1.39238146808623e-07,3.26209035922689e-07,4.52323860187285e-08,1.97868006498566e-10
9.7265625,5.93692353969701e-09,1.65331392781072e-07,2.56104399857549e-07,4.10587527811102e-07,1.11399309371291e-07,3.52180011133897e-07,4.04543554024614e-08,2.03071183398165e-10
9.84375,4.66600109281012e-09,1.9636634136147e-07,4.19646210651064e-07,4.79507432442061e-07,1.20719678026229e-07,3.39365344175765e-07,3.98422679201065e-08,1.74128550448856e-10
9.9609375,3.60772893919403e-09,2.15739888453424e-07,5.05068135246172e-07,3.90038656647582e-07,1.1310179048257e-07,2.84098462338425e-07,4.5317034593902e-08,1.19141133521413e-10
10.078125,2.84789726401386e-09,2.07671973394799e-07,4.37794032024571e-07,2.32164502168011e-07,1.27908933817023e-07,2.21698215400972e-07,5.13494514676976e-08,9.23942055319141e-11
10.1953125,2.25715594615611e-09,1.83976228482302e-07,2.83922866680422e-07,1.76198191044473e-07,1.92202945497619e-07,1.9345897935407e-07,4.98095006735582e-08,1.44879368161878e-10
10.3125,1.82899733406726e-09,1.51397612858539e-07,1.67370252004647e-07,2.72661760707093e-07,2.58432136042541e-07,2.07485191071043e-07,4.29655858906592e-08,2.84371428707485e-10
10.4296875,1.55870821474088e-09,1.14349590113368e-07,1.40387125505171e-07,3.58277865154198e-07,2.67037362129957e-07,2.36030348744775e-07,4.85889640602422e-08,4.24943911448584e-10
10.546875,1.24053022834325e-09,8.83300400378298e-08,1.64134688560343e-07,3.09079837277448e-07,2.36482951194697e-07,2.25217512412199e-07,6.75496985847199e-08,4.35881308395843e-10
10.6640625,8.42322419301366e-10,7.9245155851945e-08,2.0825232046975e-07,2.16751447514383e-07,2.34062771792174e-07,1.62982702182179e-07,7.85976558933718e-08,3.07111242221983e-10
10.78125,5.48873215728959e-10,7.63241262736831e-08,2.81555061645064e-07,1.87758534771825e-07,2.57827357593072e-07,1.07066927536842e-07,7.40276606236323e-08,1.66693745014164e-10
10.8984375,3.90271967723119e-10,7.09580236647239e-08,3.44024980441626e-07,2.14902077723428e-07,2.73047542673435e-07,8.7786432815995e-08,6.48722119885585e-08,1.31830801845605e-10
11.015625,2.77795693341539e-10,6.51874450818743e-08,3.36459780065078e-07,2.76242620868653e-07,2.77025045401123e-07,8.26250577962641e-08,6.68897774926171e-08,1.79734422826884e-10
11.1328125,2.09420736502921e-10,6.17971565236261e-08,2.78834707234497e-07,3.41613200993594e-07,2.85790283723994e-07,9.4091858898139e-08,7.96320952644876e-08,2.19556318794804e-10
11.25,2.24059977622465e-10,6.10054918335442e-08,2.06556942693483e-07,3.38749782998869e-07,3.11375215161664e-07,1.41223645742777e-07,8.73812644219044e-08,2.45307839768982e-10
11.3671875,3.37744615273612e-10,6.33116145979377e-08,1.39501250546184e-07,2.87996485968105e-07,3.4801234779902e-07,1.88745498519012e-07,8.72370805736134e-08,2.59542667311668e-10
11.484375,5.26789678737489e-10,6.37401463370408e-08,1.21056843458136e-07,3.36648550057761e-07,3.95343290247381e-07,1.87480874295765e-07,7.71554188864587e-08,2.34531150923174e-10
11.6015625,6.91094584666695e-10,5.8061347497214e-08,1.49983539999659e-07,5.01818940922928e-07,4.24837932082105e-07,1.66532770340227e-07,5.41877527455218e-08,2.39537482081442e-10
11.71875,8.01265574896931e-10,5.26389588742449e-08,1.76337340215879e-07,5.73574892401014e-07,3.86935602016729e-07,1.72129144119636e-07,3.51626556829693e-08,3.55754734806177e-10
11.8359375,1.00630718298212e-09,5.21115334533116e-08,1.81668353298098e-07,4.54323282689561e-07,2.99995128440692e-07,1.87715933404696e-07,3.04579192470799e-08,5.22972390345793e-10
11.953125,1.40460000118375e-09,5.58197322739455e-08,1.67029961717678e-07,2.83547426282647e-07,2.36043817189509e-07,1.89585706177025e-07,3.1884732570727e-08,5.83834960643511e-10
12.0703125,1.99251247968873e-09,6.46950580772659e-08,1.44636563222617e-07,1.77941646274736e-07,2.21458657627257e-07,1.89331520737704e-07,3.584413526139e-08,4.64730925229573e-10
12.1875,2.73103567804246e-09,7.26013246979413e-08,1.41999855731939e-07,1.7836510968608e-07,2.0358265757269e-07,2.10152662388232e-07,4.05443404625101e-08,2.97698527182531e-10
12.3046875,3.44896272725977e-09,7.063598880126e-08,1.53112985600692e-07,2.81631574519936e-07,1.60122992718326e-07,2.35850668038279e-07,3.79303056445784e-08,2.37724294563461e-10
12.421875,4.09336937623383e-09,6.18530456950181e-08,1.6018389531528e-07,3.94776302755372e-07,1.32227061098784e-07,2.15006875437079e-07,3.08213976249426e-08,2.80187453676554e-10
12.5390625,4.72492542869619e-09,5.470384707405e-08,1.74179051530535e-07,4.04795722678897e-07,1.34239126191804e-07,1.50176338971758e-07,3.34966885709802e-08,3.34181383479633e-10
