Lag_s,Correlation_U_P1_P2
7.93333333333333,-0.02983139705378
7.96666666666667,-0.018853304904191
8,-0.00347435213260623
8.03333333333333,0.0139874315438466
8.06666666666667,0.00489163844653783
8.1,0.00752878192651119
8.13333333333333,0.0394403587144364
8.16666666666667,0.0456664783370123
8.2,0.0248449776939159
8.23333333333333,-0.0102340481201805
8.26666666666667,-0.00964495397138425
8.3,-0.00914506067850761
8.33333333333333,-0.0150118966318785
8.36666666666667,-0.020548617233714
8.4,-0.0238475807116497
8.43333333333333,-0.0190813116096679
8.46666666666667,-0.032136970829357
8.5,-0.0303374553366922
8.53333333333333,-0.0241607083491128
8.56666666666667,-0.0302806052423649
8.6,-0.0328135813929114
8.63333333333333,-0.0332366427796763
8.66666666666667,-0.0288346681950686
8.7,-0.0319069162728396
8.73333333333333,-0.0266897292204107
8.76666666666667,-0.0236546124486228
8.8,-0.0204319708141033
8.83333333333333,-0.028418837678428
8.86666666666667,-0.0260748073113977
8.9,-0.0238860747698114
8.93333333333333,-0.0264496072132914
8.96666666666667,-0.0263379749973973
9,-0.0266683739025885
9.03333333333333,-0.0267977389080191
9.06666666666667,-0.0280723676530716
9.1,-0.0239185736293258
9.13333333333333,-0.0323236017727083
9.16666666666667,-0.0329681406408354
9.2,-0.0221422443474276
9.23333333333333,-0.0268779090958737
9.26666666666667,-0.0271238378710481
9.3,-0.029897920358551
9.33333333333333,-0.027941029430557
9.36666666666667,-0.0309504972201954
9.4,-0.0248286507198227
9.43333333333333,-0.0248411851668464
9.46666666666667,-0.0285047624673834
9.5,-0.0241121413590758
9.53333333333333,-0.0134741545231789
9.56666666666667,-0.0121502192268748
9.6,-0.0169521987235003
9.63333333333333,-0.0137052749374372
9.66666666666667,-0.0122142087966698
9.7,-0.00956574110004163
9.73333333333333,-0.00951796502183607
9.76666666666667,-0.00426139872814201
9.8,-0.00492199531789621
9.83333333333333,-0.000389402699121183
9.86666666666667,-0.00145529710788275
9.9,0.00569920851829439
9.93333333333333,0.000604277318466753
9.96666666666667,-6.27451001012081e-05
10,-0.00157508987588838
10.0333333333333,0.000669588333360496
10.0666666666667,-0.00581564425326432
10.1,0.00250520304445462
10.1333333333333,-0.00323102828741897
10.1666666666667,-0.00294360444464933
10.2,0.00109666639180414
10.2333333333333,-0.00187872142265534
10.2666666666667,-0.00505068994219825
10.3,-0.00045862234394275
10.3333333333333,-0.00396622874741688
10.3666666666667,0.000879801103294794
10.4,-0.00188393248321871
10.4333333333333,0.000776565276350179
10.4666666666667,-0.00514402762934515
10.5,0.00165723350216452
10.5333333333333,-0.0036125347971062
10.5666666666667,0.000545173026123942
10.6,-0.00258722988302052
10.6333333333333,0.000933259817457243
10.6666666666667,-0.00394167366488251
10.7,-0.000414503902828231
10.7333333333333,0.000827344715771585
10.7666666666667,0.000814422344088902
10.8,0.00283476016714519
10.8333333333333,0.000656834747726646
10.8666666666667,0.00404144707315115
10.9,0.00454609600278995
10.9333333333333,0.00375992832978163
10.9666666666667,0.00410483336163048
11,0.0054438566563299
11.0333333333333,0.00501048186406391
11.0666666666667,0.00417100613088245
11.1,0.00529099127498853
11.1333333333333,0.0064653424379306
11.1666666666667,0.0051344957456432
11.2,0.00487164130414153
11.2333333333333,0.00487096366506671
11.2666666666667,0.00527232628371627
11.3,0.0040662946795157
11.3333333333333,0.00428181378288513
11.3666666666667,0.00446232254264702
11.4,0.00511072484309346
11.4333333333333,0.00511879132520563
11.4666666666667,0.00489918837663164
11.5,0.0036556340889936
11.5333333333333,0.00440481506942412
11.5666666666667,0.00436200199121831
11.6,0.00482922471119547
11.6333333333333,0.00424389377128817
11.6666666666667,0.00433467568425427
11.7,0.00445589105573932
11.7333333333333,0.00357600381913673
11.7666666666667,0.00314347980103432
11.8,0.00427379483296848
11.8333333333333,0.00416746627008071
11.8666666666667,0.00492748329557357
11.9,0.00385436791053146
11.9333333333333,0.00393388602139956
11.9666666666667,0.00406811922559619
12,0.00451868287360515
12.0333333333333,0.00420707767842815
12.0666666666667,0.00320100305670151
12.1,0.00353891267006401
12.1333333333333,0.00424938571581094
12.1666666666667,0.00391794487089312
12.2,0.00322508016035546
12.2333333333333,0.00328435261994617
12.2666666666667,0.00288199032880799
12.3,0.00192702453663399
12.3333333333333,0.00212240570347405
12.3666666666667,0.00330677341659855
12.4,0.0033830388435467
12.4333333333333,0.00269037065916629
12.4666666666667,0.00303400110277373
12.5,0.0040881777697657
12.5333333333333,0.00404438637208575
12.5666666666667,0.00311153642754539
12.6,0.0027467165708066
12.6333333333333,0.00311138125892257
12.6666666666667,0.00249964394843667
12.7,0.00274584263447932
12.7333333333333,0.00180454075605088
12.7666666666667,0.00229124470131159
12.8,0.00338497558990822
12.8333333333333,0.00250577633801239
12.8666666666667,0.0018820322901763
12.9,0.00200012580027522
12.9333333333333,0.00203766457558526
12.9666666666667,0.00240245923234342
13,0.00216411955178875
13.0333333333333,0.00219238560239371
13.0666666666667,0.00210325091429187
13.1,0.00205886927780347
13.1333333333333,0.00146441838322479
13.1666666666667,0.00198987195987552
13.2,0.00200035994904249
